Creditor_Name ,Invoice Line Amount,Payment_Date,Expenditure Category/Description,LA Department
REDACTED PERSONAL INFORMATION,1005,45299,Other Services,Childrens Services
GREENWICH SERVICE PLUS LIMITED,837977.66,45299,External Payments,Corporate
GO PRODUCTIONS LTD T/AS DOCKLANDS MEDIA,3600,45299,Training Expenses,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,808.6,45301,LC Staying Put,Childrens Services
OPTIMUM SUPPORTED HOUSING LIMITED,19488,45301,Supported Living,Health and Adult Services
OPTIMUM SUPPORTED HOUSING LIMITED,19488,45301,Supported Living,Health and Adult Services
OPTIMUM SUPPORTED HOUSING LIMITED,13604,45301,Supported Living,Health and Adult Services
OPTIMUM SUPPORTED HOUSING LIMITED,5040,45301,Supported Living,Health and Adult Services
OPTIMUM SUPPORTED HOUSING LIMITED,16008,45301,Supported Living,Health and Adult Services
OPTIMUM SUPPORTED HOUSING LIMITED,3480,45301,Agency Placements,Childrens Services
SANDCASTLE CARE LIMITED,24831.99,45301,Agency Placements,Childrens Services
HAMBERLEY CARE ( STEPNEY ) LIMITED,6535.71,45301,Short Term Nursing,Health and Adult Services
HAMBERLEY CARE ( STEPNEY ) LIMITED,6753.57,45301,Short Term Nursing,Health and Adult Services
HAMBERLEY CARE ( STEPNEY ) LIMITED,6535.71,45301,Short Term Nursing,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),3495.79,45301,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),4718.63,45301,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),4932.4400000000005,45301,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),4932.4400000000005,45301,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),4932.4400000000005,45301,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),4932.4400000000005,45301,Private Home Help Domest Misc,Health and Adult Services
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,5724,45301,Agency Placements,Childrens Services
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,13446,45301,Supported Living,Health and Adult Services
HEADWAY SELNWK LTD,616,45301,Voluntary Bodies Other Care,Health and Adult Services
FIELDWHITE SERVICES LTD,10504.24,45299,General Payments,NS General Fund
FIELDWHITE SERVICES LTD,-1865.88,45299,Ext Inc Other Recover Charges,Housing Services HRA
FIELDWHITE SERVICES LTD,-6,45299,Other Recoverage Charges,Housing Services HRA
RBG RE: NIL RECOURSE,28000,45299,Subsistence Payments,Health and Adult Services
RBG RE: NIL RECOURSE,9000,45299,Subsistence Payments,Health and Adult Services
RBG RE: NIL RECOURSE,3000,45299,Subsistence Payments,Health and Adult Services
RBG RE: NIL RECOURSE,4000,45299,Subsistence Payments,Health and Adult Services
HEADWAY SELNWK LTD,616,45301,Voluntary Bodies Other Care,Health and Adult Services
HEADWAY SELNWK LTD,616,45301,Voluntary Bodies Other Care,Health and Adult Services
THE AVENUE TRUST GROUP,13452.14,45301,Supported Living,Health and Adult Services
NELLSAR LIMITED,6428.57,45301,Private Sector Nursing Homes,Health and Adult Services
NELLSAR LIMITED,2357.14,45301,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,8395,45299,Services Other Local Author,Childrens Services
TKF GROUP LTD,116352.72,45296,Rents Other,Housing Services
SAFE HOMES SE LIMITED,125003.68000000001,45296,Rents Other,Housing Services
ALLIED VENTURES PROPERTY SOLUTIONS LTD,189641.4,45296,Rents Other,Housing Services
HOUSE TO HOME LETTINGS LTD,120289.40000000001,45296,Rents Other,Housing Services
INDEX CARE LIMITED,2991,45301,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,500,45303,Other Services,Childrens Services
OPTIMUM SUPPORTED HOUSING LIMITED,6366,45301,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,900,45303,Other Services,Childrens Services
TRADEWIND RECRUITMENT LTD,553.5,45303,Other Services,Childrens Services
BLUEDRIVE CARE HOMES LTD,853.88,45301,Private Home Help Domest Misc,Health and Adult Services
HITACHI CAPITAL (UK) PLC,5201.5,45301,Supported Living,Health and Adult Services
BLUEDRIVE CARE HOMES LTD,998.25,45301,Private Home Help Domest Misc,Health and Adult Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,1424.76,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
SANCTUARY CARE LTD,6594,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2717.64,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2680.76,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,3179.08,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2717.64,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,4862.4800000000005,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,3027.68,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,2734.36,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,2664.32,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,3116.7200000000003,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2734.36,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,3179.96,45301,Short Term Nursing,Health and Adult Services
SANCTUARY CARE LTD,2734.36,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,3179.08,45301,Short Term Nursing,Health and Adult Services
SANCTUARY CARE LTD,3116.7200000000003,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2734.36,45301,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,15600,45303,Services Other Local Author,Childrens Services
JEMIMAH HENDRICK,612,45303,Professional Fees,Chief Executives
SANCTUARY CARE LTD,2598.88,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2734.36,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,3179.08,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2717.64,45301,Short Term Nursing,Health and Adult Services
SANCTUARY CARE LTD,2717.64,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2717.64,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,2579.92,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,2717.6,45301,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,3179.08,45301,Private Sector Nursing Homes,Health and Adult Services
SANCTUARY CARE LTD,3179.08,45301,Private Sector Nursing Homes,Health and Adult Services
FABTIC LIMITED,596.76,45301,Children Looked After,Childrens Services
FABTIC LIMITED,525.6,45301,Children Looked After,Childrens Services
SHOOTERS HILL RESIDENTIAL HOME,3762.88,45301,Services Private Contractor,Health and Adult Services
SHOOTERS HILL RESIDENTIAL HOME,4400,45301,Services Private Contractor,Health and Adult Services
BLUE OCEAN SERVICES LTD,3062.5,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,4309.38,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,7612.5,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,752.5,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,1487.5,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,3106.25,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,1400,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,5836.3,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,2756.25,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,1159.38,45301,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,2861.25,45301,Private Home Help Domest Misc,Health and Adult Services
FABTIC LIMITED,829.02,45301,Children Looked After,Childrens Services
VERVE HOMECARE LTD,2110.44,45301,In Home Domicilary and Agency Care,Childrens Services
DR GRANGE & ASSOCIATES LTD,819.89,45301,Children Looked After,Childrens Services
DR GRANGE & ASSOCIATES LTD,819.89,45301,Children Looked After,Childrens Services
DR GRANGE & ASSOCIATES LTD,2287.56,45301,Children Looked After,Childrens Services
DR GRANGE & ASSOCIATES LTD,2287.56,45301,Children Looked After,Childrens Services
AVANTE CARE SERVICES LTD,4757.58,45301,Short Term Nursing,Health and Adult Services
HOMESDALE SUPPORTED LIVING,5108.5,45301,Supported Living,Health and Adult Services
BOND TURNER LIMITED,650,45301,Other Services,Housing Services HRA
RBG RE: FINANCIAL SERVICES,20000,45296,Expenditure Payments,Chief Executives
REDACTED PERSONAL INFORMATION,3240,45301,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,225,45301,Other Services,Childrens Services
NOTTINGHAMSHIRE COUNTY COUNCIL,41662.5,45301,Agency Placements,Childrens Services
NOTTINGHAMSHIRE COUNTY COUNCIL,80,45301,Children Looked After,Childrens Services
JAMES KIDS HOME LTD,30429,45301,Agency Placements,Childrens Services
K.T.JUD SOCIAL CARE SERVICES LTD,1800,45301,Children Looked After,Childrens Services
A WILDERNESS WAY GROUP LIMITED,36560.83,45301,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,3890.98,45303,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,4250,45303,Other Services,Childrens Services
JAMMA UMOJA (RESIDENTIAL SERVICES),2250,45301,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,2016,45303,Other Services,Childrens Services
JAMMA UMOJA (RESIDENTIAL SERVICES),12800.85,45301,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,627,45303,Other Services,Childrens Services
JAMMA UMOJA (RESIDENTIAL SERVICES),18037.57,45301,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,1514,45303,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,1224,45303,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,3060,45303,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,1836,45303,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,3060,45303,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,3060,45303,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,576,45303,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,3168,45303,Other Services,Childrens Services
BARTS HEALTH NHS TRUST,2522.5,45303,Medical Services,Health and Adult Services
REDACTED PERSONAL INFORMATION,19336.2,45301,Other Services,Childrens Services
BARTS HEALTH NHS TRUST,4733.6,45303,Medical Services,Health and Adult Services
CHUBB FIRE LIMITED,604.8000000000001,45302,Equipment,Health and Adult Services
REDACTED PERSONAL INFORMATION,2469.6,45303,Other Services,Childrens Services
SMARTLET ESTATES LIMITED,2892.53,45302,MIsc,Housing Services
PFL PROPERTIES LIMITED,1845.17,45302,MIsc,Housing Services
PFL PROPERTIES LIMITED,1692.54,45302,MIsc,Housing Services
PFL PROPERTIES LIMITED,1845.17,45302,MIsc,Housing Services
PFL PROPERTIES LIMITED,1692.54,45302,MIsc,Housing Services
GAS & ENVIRONMENTAL SERVICES LTD,526.6800000000001,45302,Small Systems Budget,Housing Services HRA
BT PLC,553.46,45303,Telephones,Health and Adult Services
BT PLC,1110.02,45307,Mobile Phones,Chief Executives
BT PLC,70,45307,Mobile Phones,Chief Executives
WOLSELEY UK LTD - 7765C34 P/O ONLY,2793.67,45302,Materials,Housing Services HRA
WOLSELEY UK LTD - 7765C34 P/O ONLY,2999.41,45302,Materials,Housing Services HRA
B T REDCARE,11627.23,45303,Telephones,Comm Safety and Environment
WOLSELEY UK LTD - 7765C34 P/O ONLY,3015.6,45302,Large Containers,Comm Safety and Environment
RED SNAPPER MANAGED SERVICES LIMITED,720,45303,Professional Fees,Comm Safety and Environment
RED SNAPPER MANAGED SERVICES LIMITED,322.5,45303,Professional Fees,Comm Safety and Environment
BRITISH RED CROSS SOCIETY,1005.6,45303,MIsc,Chief Executives
KENT COUNTY COUNCIL (KCS),118962.49,45302,Expenditure Payments,Systems Control Accounts
KENT COUNTY COUNCIL (KCS),386111.11,45302,Expenditure Payments,Systems Control Accounts
KENT COUNTY COUNCIL (KCS),249258.4,45301,Expenditure Payments,Systems Control Accounts
KENT COUNTY COUNCIL (KCS),283629.5,45301,Expenditure Payments,Systems Control Accounts
KENT COUNTY COUNCIL (KCS),122070.01000000001,45301,Expenditure Payments,Systems Control Accounts
KENT COUNTY COUNCIL (KCS),65660.13,45301,Expenditure Payments,Systems Control Accounts
ANGELS ABODE LIMITED,214081.06,45299,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,2430,45302,Agency Staff,Childrens Services
DCC INTERACTIVE LTD T/AS DCC-I,900,45303,Conference Expenses,Health and Adult Services
RSP RAIL TRAVEL  ACCOUNT,150,45303,Transport For Children,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,86.4,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,42.4,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,45.6,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,17.6,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,106.7,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,464.6,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,367,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,1049.3,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,56.6,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,303.1,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,145.5,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,288.7,45303,Transport For Parent Car,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,696.1,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,329.3,45303,Travel Expenses,Health and Adult Services
RSP RAIL TRAVEL  ACCOUNT,90.8,45303,Transport For Children,Health and Adult Services
RSP RAIL TRAVEL  ACCOUNT,126.9,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,129,45303,Travel Expenses,Childrens Services
RSP RAIL TRAVEL  ACCOUNT,15.200000000000001,45303,Travel Expenses,Chief Executives
RSP RAIL TRAVEL  ACCOUNT,15.200000000000001,45303,Other Services,Chief Executives
THE UNIVERSITY OF BIRMINGHAM,3420,45302,Training Expenses,Childrens Services
REDACTED PERSONAL INFORMATION,550,45302,Training Expenses,Childrens Services
HSBC INVOICE FINANCE (UK) LTD,720,45302,Services Private Contractor,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,4151.64,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1204.84,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,6444,45302,Other Services,Childrens Services
LONDON BOROUGH OF SOUTHWARK,125198.98,45302,Services Joint Authorities,Comm Safety and Environment
GREENWICH SERVICE PLUS LIMITED,7263.360000000001,45302,Clean Image Contract,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,16300,45302,Services Other Local Author,Childrens Services
PB SOUTHE AST PROPERTIES LIMITED,7796.4400000000005,45302,Rent Bond/ Arrears,Housing Services
HER CENTRE LTD,25000,45302,Grants To Voluntary Organ,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,1308.1000000000001,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1239.25,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,2093.04,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1308.1000000000001,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,784.84,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1962.13,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,828,45302,Grants To Voluntary Organ,Childrens Services
REDACTED PERSONAL INFORMATION,2093.04,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1308.1000000000001,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,784.84,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1239.26,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,922.54,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1308.1000000000001,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,2616.3,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,688.48,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,826.16,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,722.89,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1115.31,45302,Additional support for 3&4yr old withSEN,Childrens Services
NHS SOUTH EAST LONDON CCG,3371.77,45302,Services by External Providers,Health and Adult Services
GREENWICH SERVICE PLUS LIMITED,2705.56,45302,Vehicle Repair In House Trad,Housing Services HRA
REDACTED PERSONAL INFORMATION,6648.650000000001,45302,Services Other Local Author,Childrens Services
WEALDEN REHAB LTD,6582.42,45302,General Payments,NS General Fund
NEWHAVEN PUPIL REFERRAL UNIT,9215.58,45302,Rm Premises Costs Dual,Childrens Services
BARTS HEALTH NHS TRUST,5495.56,45302,Medical Services,Health and Adult Services
BARTS HEALTH NHS TRUST,5435.8,45302,Medical Services,Health and Adult Services
LONDON PENSION FUND AUTHORITY,16331.04,45302,LPFA,Chief Executives
BARTS HEALTH NHS TRUST,4874.53,45302,Medical Services,Health and Adult Services
SOUTH OF ENGLAND FOUNDATION,7500,45302,Grants To Voluntary Organ,Childrens Services
REDACTED PERSONAL INFORMATION,16300,45302,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,8158.25,45302,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,27735.43,45302,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,10442.4,45302,Other Services,Childrens Services
JN & F LTD,10200.22,45302,General Payments,NS General Fund
JN & F LTD,-1811.88,45302,Ext Inc Other Recover Charges,Housing Services HRA
JN & F LTD,-3,45302,Other Recoverage Charges,Housing Services HRA
TELEFONICA UK LTD,30632.65,45302,External Payments,Corporate
TELEFONICA UK LTD,327,45302,External Payments,Corporate
MARITIME ACADEMY TRUST,555.87,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,-6152.5,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,46160.4,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
REDACTED PERSONAL INFORMATION,221.91,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,58.9,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
THE COMPASS PARTNERSHIP OF SCHOOLS,996.58,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
THE COMPASS PARTNERSHIP OF SCHOOLS,12161.62,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
THE COMPASS PARTNERSHIP OF SCHOOLS,106735.2,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
REDACTED PERSONAL INFORMATION,-126.36,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
THE COMPASS PARTNERSHIP OF SCHOOLS,176.70000000000002,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,1198.57,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,14943.92,45303,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,49077.6,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
REDACTED PERSONAL INFORMATION,-237.12,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,235.6,45303,Tfr to Academies - DSG Early Years Block,Childrens Services
REDACTED PERSONAL INFORMATION,13151.2,45302,Services Other Local Author,Childrens Services
LONDON & QUADRANT HOUSING,7513.5,45302,R & M Buildings Other,Housing Services HRA
LONDON & QUADRANT HOUSING,7513.5,45302,R & M Buildings Other,Housing Services HRA
REDACTED PERSONAL INFORMATION,2547.4500000000003,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,1032.71,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,619.65,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,516.36,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,702.24,45302,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,908.78,45302,Additional support for 3&4yr old withSEN,Childrens Services
RGE SERVICES LIMITED,41438.3,45302,Fire Equipment,Housing Services HRA
A & T FLOORING LIMITED,3094.8,45302,Safety,Capital Housing Revenue Acc
ACCLAIM HANDLING LTD,653.38,45302,Plant Hire External Hired,Chief Executives
ALLGOOD PLC,4516.36,45302,Rm Buildings Gmrs Ext Contract,Regeneration Enterprise and Sk
ALPHA CHAINS LTD T/AS ALPHA CHILDCARE,2726.4,45302,Provisions,Childrens Services
ALLIED PUBLICITY SERVICES (MANCHESTER) LTD T/AS,1300.13,45302,VME Liberator,Chief Executives
"BROMLEY, LEWISHAM & GREENWICH MIND LTD",23000,45302,Services Private Contractor,Health and Adult Services
CARE OUTLOOK LTD,28166.600000000002,45302,Professional Fees,Health and Adult Services
CITY HEIGHTS(LONDON)LTD P WALKER A-F,15272.4,45302,Services Private Contractor,Housing Services HRA
COLLIS MEDIATION LIMITED,5352,45302,Professional Fees,Childrens Services
COMPLETE ECOLOGY LTD,9120,45302,Equipment,Comm Safety and Environment
CLEANKILL (ENVIRONMENTIAL SERVICES) LTD,7254,45302,Materials,Housing Services HRA
DG CITIES LIMITED,7920,45302,Specialist Prof Services,Chief Executives
THE DIFFERENCE EDUCATION LTD,550,45302,Other Services,Childrens Services
ELEANOR NURSING AND SOCIAL CARE LTD,752.6800000000001,45302,Other Services,Health and Adult Services
FAITHORN FARRELL TIMMS,17825.760000000002,45302,Ext Consultants Fees,Capital Housing Revenue Acc
FAITHORN FARRELL TIMMS,2400,45302,Services Private Contractor,Housing Services HRA
G.O DRAINAGE SERVICES LTD,786,45302,Rm Buildings Gmrs Ext Contract,Regeneration Enterprise and Sk
G&G GROUP SOUTH EAST LTD,523.58,45302,Planned Maintenance,Housing Services HRA
GAS TRAIN LTD,681,45302,Equipment,Housing Services HRA
GLOBE FIT LTD,2555,45302,Provisions,Childrens Services
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,12000,45302,MIsc,Regeneration Enterprise and Sk
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,11682.54,45302,Services by External Providers,Health and Adult Services
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,79980,45302,Services by External Providers,Health and Adult Services
GREENWICH CO-OPERATIVE DEVELOPMENT AGENCY,91168.8,45302,Services by External Providers,Health and Adult Services
GREENWICH LEISURE LIMITED,97055.2,45302,C&F Commissioning Contract,Childrens Services
GREENWICH LEISURE LIMITED,136614.43,45302,C&F Commissioning Contract,Childrens Services
HALO TECHNOLOGIES EUROPE LTD,1948.8,45302,Equipment,Comm Safety and Environment
HARDY DRAINAGE LIMITED,8040,45302,General Payments,Capital Housing Revenue Acc
HARDY DRAINAGE LIMITED,13200,45302,General Payments,Capital Housing Revenue Acc
HARDY DRAINAGE LIMITED,2820,45302,General Payments,Capital Housing Revenue Acc
"THE ACCOUNTING OFFICER, HOME OFFICE",3616.4900000000002,45302,Other Services,Chief Executives
KOMPAN LTD,32553.07,45302,Play Equipment Maintenance,Housing Services HRA
LDA DESIGN CONSULTING LIMITED,5694.35,45302,Ext Project Management,Other General Fund
LEEC LIMITED,4179.32,45302,Services Private Contractor,Comm Safety and Environment
LONDON FIRE SOLUTIONS LTD,41465.47,45302,Services Private Contractor,Housing Services HRA
MARTIN ARNOLD LTD,986.4,45302,Ext Consultants Fees,Planned Maintenance
MASHER BROTHERS LTD,20156.350000000002,45302,Services Private Contractor,Housing Services HRA
MDP COMMUNICATION SERVICES,7291.4400000000005,45302,Windows,Capital Housing Revenue Acc
M G AXTON,31296,45302,Services Private Contractor,Housing Services HRA
MILL GREEN SERVICES LTD,14410.93,45302,Rm Buildings Gmrs Ext Contract,Chief Executives
OSTEOPATHS FOR INDUSTRY LTD,678,45302,Training Expenses,Comm Safety and Environment
PELLINGS LLP,21994.56,45302,Ext Architects Fees,Capital Housing Revenue Acc
GREENWICH BSF SPV LIMITED,19038,45302,Services Private Contractor,Regeneration Enterprise and Sk
PELLINGS LLP,1117.8,45302,Services Private Contractor,Housing Services HRA
PELLINGS LLP,5832,45302,Ext Consultants Fees,Capital Housing Revenue Acc
POTTER RAPER LTD,3300,45302,Professional Fees,Housing Services HRA
POTTER RAPER LTD,1359,45302,Safety,Capital Housing Revenue Acc
QUAGGY DEVELOPMENT TRUST GWCC,101949.43000000001,45302,C&F Commissioning Contract,Childrens Services
SAUTER AUTOMATION LIMITED,1682.38,45302,Rm Buildings Gmrs Ext Contract,Regeneration Enterprise and Sk
WESTMINSTER WASTE LIMITED,7620,45302,R & M Buildings Other,Comm Safety and Environment
WESTMINSTER WASTE LIMITED,948,45302,Roads Responsive Maintenance,Regeneration Enterprise and Sk
